Brand,Model,Year,Mileage,Engine,Fuel_type,Transmission,Ext_col,Int_col,Accident,Clean_title,Price
Toyota,Supra A91-MT Edition,2023,1500,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Orange,Gray,None reported,Yes,84900
BMW,X7 xDrive40i,2022,38671,3.0 Liter Turbo,Hybrid,Automatic,Blk,Gray,None reported,,66998
Jeep,Wrangler Unlimited X,2007,135465,205.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Black,None reported,Yes,15750
MINI,Countryman Cooper S ALL4,2014,79000,181.0HP 1.6L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,White,None reported,Yes,17000
Nissan,Maxima SV,2012,42259,290.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,CVT Transmission,Black,Black,At least 1 accident or damage reported,Yes,17000
Toyota,Camry Solara SLE V6,2006,159890,225.0HP 3.3L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Blue,At least 1 accident or damage reported,Yes,6500
Maserati,Grecale Modena,2023,2200,325.0HP 2.0L 4 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,75000
Lexus,RX 450h Base,2022,15833,308.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Hybrid,CVT Transmission,Beige,White,None reported,Yes,52000
BMW,328 i xDrive,2013,96000,240.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,13500
BMW,135 i,2009,72900,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Gray,Gray,None reported,Yes,15500
BMW,X7 M50i,2021,7121,4.4 Liter Twin Turbo,Gasoline,Automatic,Black,Gray,None reported,,94998
Hyundai,Tucson Hybrid SEL Convenience,2023,3402,226.0HP 1.6L 4 Cylinder Engine Gas/Electric Hybrid,Hybrid,A/T,Black,White,None reported,Yes,44000
Volvo,C30 T5 Premier Plus,2013,73000,227.0HP 2.5L 5 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Silver,None reported,Yes,13900
Karma,Revero Base,2018,21000,403.0HP 2.0L Electric Motor Electric Fuel System,,A/T,Black,White,None reported,Yes,51000
BMW,X7 xDrive40i,2021,30309,3.0 Liter Turbo,Hybrid,Automatic,Tan,Blue,None reported,,63598
Ford,Mustang Mach-E California Route 1,2021,24000,290.0HP Electric Motor Electric Fuel System,,1-Speed A/T,Black,White,None reported,Yes,38000
BMW,740 i,2016,73000,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,23999
Ford,Edge SEL,2019,26465,2.0L I4 16V GDI DOHC Turbo,Gasoline,8-Speed Automatic,Ebony,White Platinum Tri-Coat Metallic,None reported,,24998
Volkswagen,Arteon 2.0T SEL Premium R-Line,2020,26870,2.0L I4 16V GDI DOHC Turbo,Gasoline,8-Speed Automatic,Mistral Gray / Raven,Deep Black Pearl Effect,At least 1 accident or damage reported,Yes,34645
Honda,Pilot EX,2004,184000,240.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Blue,At least 1 accident or damage reported,Yes,10500
BMW,X7 ALPINA XB7,2022,4514,4.4 Liter Twin Turbo,Gasoline,Automatic,Black,Gray,None reported,,132998
RAM,2500 Tradesman,2022,1300,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Red,None reported,Yes,48000
Jeep,Grand Cherokee Limited,2018,49924,293.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,White,None reported,Yes,26500
GMC,Yukon Denali,2019,36526,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Black,Red,None reported,Yes,57850
BMW,M6 Base,2015,37000,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Silver,Silver,None reported,Yes,45950
Acura,MDX 3.5L w/Advance & Entertainment Pkgs,2017,79884,3.5L V6 24V GDI SOHC,Gasoline,9-Speed Automatic,Graystone,Gray,At least 1 accident or damage reported,,24840
Volkswagen,Beetle 1.8T,2016,30000,170.0HP 1.8L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Beige,Blue,At least 1 accident or damage reported,Yes,19000
BMW,X6 M Base,2021,11102,600.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,101000
Ford,Mustang GT Premium,2012,105500,412.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Silver,None reported,Yes,19000
BMW,X7 xDrive50i,2019,31157,4.4 Liter GDI DOHC Twin Turbo,Gasoline,Automatic,Blk,Black,None reported,,65998
Kia,Sorento LX V6,2019,86204,3.3L V6 24V GDI DOHC,Gasoline,8-Speed Automatic,Satin Black,Sparkling Silver,At least 1 accident or damage reported,,20708
BMW,435 i,2014,80211,300.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Red,Gray,At least 1 accident or damage reported,Yes,17995
Aston,Martin V8 Vantage Base,2010,25991,420.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Silver,None reported,Yes,69995
Mercedes-Benz,CLK-Class CLK 350,2008,73000,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,8400
BMW,740 i,2018,40989,320.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Gold,Black,None reported,Yes,35000
Dodge,Caliber Express,2010,102681,158.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,M/T,Black,Red,None reported,Yes,6000
Acura,ZDX Base,2010,123000,300.0HP 3.7L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,13888
Jeep,Wrangler X,2005,160900,190.0HP 4.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,4-Speed A/T,–,Black,At least 1 accident or damage reported,Yes,7200
BMW,M3 Base,2011,105000,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Silver,At least 1 accident or damage reported,Yes,21900
Kia,Sportage Plug-In Hybrid X-Line,2023,1340,177.0HP 1.6L 4 Cylinder Engine Plug-In Electric/Gas,Plug-In Hybrid,A/T,Black,Black,None reported,Yes,41000
Ford,Mustang Mach-E Premium,2021,17850,266.0HP Electric Motor Electric Fuel System,,A/T,Black,Red,None reported,Yes,41999
BMW,M3 Base,2011,72277,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Red,Gray,None reported,Yes,34950
Jeep,Wrangler Rubicon,2023,7000,285.0HP 3.6L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,8-Speed A/T,Black,Gray,None reported,Yes,46000
Porsche,Panamera 4 Platinum Edition,2022,10627,"2.9L V-6 gasoline direct injection, DOHC, variable valve control",Gasoline,"Automatic, 8-Spd PDK Dual-Clutch",BLACK,Chalk,None reported,,99000
Ford,Explorer XLT,2020,67015,2.3L I4 16V GDI DOHC Turbo,Gasoline,10-Speed Automatic,Sandstone,Oxford White,None reported,,28590
BMW,M4 Base,2018,19600,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,62000
Ford,Mustang Mach-E Premium,2022,5800,346.0HP Electric Motor Electric Fuel System,,1-Speed A/T,White,White,None reported,Yes,42500
FIAT,500e Battery Electric,2017,33812,111.0HP Electric Motor Electric Fuel System,,1-Speed A/T,Black,Silver,None reported,Yes,14999
Cadillac,Escalade Luxury,2015,99897,420.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,26950
Mercedes-Benz,SL-Class SL 550,2014,127500,429.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,White,White,None reported,Yes,29000
Ford,Expedition Limited,2021,23842,3.5L V6 24V PDI DOHC Twin Turbo,Gasoline,10-Speed Automatic,Medium Stone,Gray,None reported,Yes,59203
Rivian,R1S Adventure Package,2023,2108,835.0HP Electric Motor Electric Fuel System,,1-Speed A/T,White,Silver,None reported,Yes,91000
BMW,M6 Base,2014,65550,560.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,None reported,Yes,39985
Lamborghini,Huracan LP580-2,2017,22000,573.0HP 5.2L 10 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,White,None reported,Yes,210000
Ford,Bronco Wildtrak Advanced,2022,15600,315.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,–,Gray,At least 1 accident or damage reported,Yes,68995
Lexus,LC 500 Base,2021,22400,471.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Red,White,None reported,Yes,81900
Lexus,LS 460 Crafted Line,2015,89150,360.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,None reported,Yes,31900
BMW,M4 Base,2023,15000,"3L I-6 gasoline direct injection, DOHC, Double VANOS variable va",Gasoline,"Automatic, 8-Spd M STEPTRONIC w/Drivelogic, Sport & Manual Modes",ORANGE,BLUE,None reported,,81000
Audi,A3 2.0T Tech Premium,2018,49500,220.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Gray,Blue,None reported,Yes,25000
Audi,S8 4.2 quattro,2003,126000,360.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Gray,,,13850
Volkswagen,Golf GTI 2.0T Autobahn 4-Door,2015,85385,210.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Gray,None reported,Yes,15550
Cadillac,Escalade Sport,2023,3000,277.0HP 3.0L Straight 6 Cylinder Engine Diesel Fuel,Diesel,A/T,Brown,White,None reported,Yes,123999
Hyundai,Tucson SE,2018,66126,2.0L I4 16V GDI DOHC,Gasoline,6-Speed Automatic,Gray,Dazzling White,None reported,,19190
Toyota,GR86 Premium,2023,1075,228.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,White,None reported,Yes,35000
Ford,Bronco Raptor,2023,2489,3.0L V6 24V GDI DOHC Twin Turbo,Gasoline,10-Speed Automatic,Black Onyx,Oxford White,None reported,,98900
Hyundai,Santa Fe SEL,2021,25000,191.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Gray,Black,None reported,Yes,28500
Nissan,Armada Platinum,2017,92000,390.0HP 5.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,20900
Lexus,GX 470 Base,2008,123500,263.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,White,At least 1 accident or damage reported,Yes,14500
Cadillac,CTS Premium,2013,105000,318.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,12000
Audi,R8 Base,2008,49000,420.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Black,None reported,Yes,63000
Jaguar,F-PACE S,2020,28357,3.0 Liter,Gasoline,Automatic,Pimento Red w/Ebony,Santorini Black Metallic,None reported,,47598
Chevrolet,Silverado 1500 1LT,2018,81000,285.0HP 4.3L V6 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Gray,Red,None reported,Yes,32000
Ford,Expedition Limited,2021,45000,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Gray,None reported,Yes,52000
Toyota,Sequoia Platinum,2011,173456,381.0HP 5.7L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,6-Speed A/T,Gray,Black,At least 1 accident or damage reported,Yes,16000
BMW,M440 i,2021,13700,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,8-Speed A/T,Beige,Black,,,60000
Audi,A8 L 55,2019,93400,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,A/T,Brown,Silver,None reported,Yes,42500
Toyota,Avalon XLE,2015,90000,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Beige,White,None reported,Yes,18200
Porsche,Macan Base,2017,40600,252.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Gray,None reported,Yes,32000
Lexus,IS 350 F Sport,2023,20121,311.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Red,Gray,None reported,Yes,47124
Mercedes-Benz,Metris Base,2020,3921,2.0L I4 16V GDI DOHC Turbo,Gasoline,7-Speed Automatic,White,Black,None reported,Yes,175000
Lexus,RX 350 Base,2011,187450,275.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Silver,At least 1 accident or damage reported,Yes,10400
Toyota,Supra A91 Edition,2021,6400,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Gray,None reported,Yes,68000
Mercedes-Benz,AMG C 43 Base 4MATIC,2017,54500,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Black,White,None reported,Yes,37995
BMW,X6 xDrive50i,2017,78500,445.0HP 4.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Brown,Red,At least 1 accident or damage reported,Yes,42000
Chevrolet,Tahoe LT,2018,75000,355.0HP 5.3L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Silver,None reported,Yes,36000
Ford,F-150 SVT Raptor,2014,89988,411.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Red,Red,At least 1 accident or damage reported,Yes,42500
Subaru,Outback 3.0 R VDC Limited,2005,107000,250.0HP 3.0L Flat 6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Gold,None reported,Yes,7100
Alfa,Romeo Giulia Ti,2019,21400,280.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,White,None reported,Yes,28500
Mazda,CX-7 Grand Touring,2007,83150,244.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Beige,White,None reported,Yes,6950
Ford,F-150 Platinum,2018,92000,250.0HP 3.0L V6 Cylinder Engine Diesel Fuel,Diesel,10-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,36500
Mercedes-Benz,GLE 350 Base 4MATIC,2021,15042,2.0L I4 16V GDI DOHC Turbo,Gasoline,9-Speed Automatic,Macchiato,Selenite Gray Metallic,None reported,,54599
Audi,A7 3.0T Premium Plus,2017,39000,333.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,35000
RAM,2500 Laramie,2017,67483,410.0HP 6.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Beige,Brown,At least 1 accident or damage reported,Yes,46500
Tesla,Model S 70D,2015,62089,329.0HP Electric Motor Electric Fuel System,,A/T,Beige,Black,None reported,Yes,29975
Audi,S8 4.0T Plus,2017,54300,605.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,None reported,Yes,53500
Hyundai,Sonata Hybrid Limited,2022,30565,192.0HP 2.0L 4 Cylinder Engine Gas/Electric Hybrid,Hybrid,A/T,Black,Gray,None reported,Yes,29000
Audi,A8 L 4.0T,2016,142666,450.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,22000
Ford,Ranger Sport SuperCab,2009,166200,207.0HP 4.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Blue,At least 1 accident or damage reported,Yes,6999
INFINITI,Q50 Hybrid Premium,2015,88977,354.0HP 3.5L V6 Cylinder Engine Gas/Electric Hybrid,Hybrid,7-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,19977
BMW,M3 Base,2011,114890,414.0HP 4.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Beige,White,None reported,Yes,20990
Mercedes-Benz,E-Class E 350 4MATIC,2009,171000,268.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed A/T,Black,Black,At least 1 accident or damage reported,Yes,4750
Ford,Explorer sport,2019,90067,3.5L V6 24V GDI DOHC Twin Turbo,Gasoline,6-Speed Automatic,Ebony Black,Black,None reported,,28590
Chevrolet,Camaro 1LT,2014,97579,323.0HP 3.6L V6 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Black,At least 1 accident or damage reported,Yes,15000
Mazda,MX-5 Miata RF Grand Touring,2017,52000,155.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Black,Black,At least 1 accident or damage reported,Yes,20500
Jeep,Grand Cherokee L Limited,2021,25968,3.6L V6 24V MPFI DOHC,Gasoline,8-Speed Automatic,Global Black,Metallic,None reported,,38405
MINI,Hardtop Cooper S,2016,41680,189.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Silver,None reported,Yes,17495
Saab,9-3 SE,2002,77200,205.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed M/T,Beige,Black,None reported,Yes,7500
BMW,X5 xDrive40i,2019,50000,335.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Gold,Blue,None reported,Yes,43000
Porsche,Macan,2021,21613,2.0 Liter,Gasoline,Automatic,–,White,None reported,,58998
Audi,Q3 S line Premium Plus,2022,17377,2.0 Liter TFSI,Gasoline,Automatic,Pearl Beige,Glacier White,None reported,,39998
GMC,Acadia SLE,2020,30426,2.5L I4 16V GDI DOHC,Gasoline,9-Speed Automatic,Jet Black,Ebony Twilight Metallic,,,29645
Audi,allroad 2.7T,2005,153000,250.0HP 2.7L V6 Cylinder Engine Gasoline Fuel,Gasoline,M/T,Blue,Blue,At least 1 accident or damage reported,Yes,6500
Mercury,Marauder Base,2004,56600,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission Overdrive Switch,Black,Silver,None reported,Yes,23000
Hyundai,Genesis 3.8,2015,116612,311.0HP 3.8L V6 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,White,White,At least 1 accident or damage reported,Yes,12700
Audi,SQ5 3.0T Premium Plus,2018,72000,354.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Blue,At least 1 accident or damage reported,Yes,30000
Audi,A8 L 55,2019,39000,335.0HP 3.0L V6 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,8-Speed A/T,Brown,Black,None reported,Yes,50000
Lincoln,Navigator Base,2008,149000,300.0HP 5.4L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Gold,None reported,Yes,10099
BMW,M4 Base,2018,19300,425.0HP 3.0L Straight 6 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed M/T,Silver,White,None reported,Yes,64000
Mazda,CX-9 Carbon Edition,2021,27836,2.5L I4 16V GDI DOHC Turbo,Gasoline,6-Speed Automatic,Red,Polymetal Gray Metallic,None reported,Yes,36969
Chevrolet,Corvette Stingray w/1LT,2023,3273,490.0HP 6.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Red,Black,None reported,Yes,78999
Ford,F-150 Lariat,2017,74349,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,–,White,None reported,Yes,36000
Ford,F-250 Lariat,2019,85000,450.0HP 6.7L 8 Cylinder Engine Diesel Fuel,Diesel,6-Speed A/T,Black,White,At least 1 accident or damage reported,Yes,55000
Ferrari,Roma Base,2022,2250,611.0HP 3.9L 8 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Blue,Gray,None reported,Yes,259500
Mercedes-Benz,GLS 450 Base 4MATIC,2017,46100,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Beige,Black,At least 1 accident or damage reported,Yes,33000
Hyundai,Santa Fe SEL Plus 2.4,2019,49500,185.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,8-Speed A/T,Gray,Silver,None reported,Yes,28000
Mercedes-Benz,E-Class E 350,2012,31130,302.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Black,None reported,Yes,23500
Ford,F-250 XLT SuperCab Super Duty,2008,149460,350.0HP 6.4L 8 Cylinder Engine Diesel Fuel,Diesel,A/T,Gray,Blue,At least 1 accident or damage reported,Yes,12240
Mercury,Marauder Base,2003,90000,302.0HP 4.6L 8 Cylinder Engine Gasoline Fuel,Gasoline,4-Speed A/T,Beige,Blue,At least 1 accident or damage reported,Yes,15500
Ford,Transit-350 XLT,2021,48000,275.0HP 3.5L V6 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Gray,White,None reported,Yes,57000
Mercedes-Benz,C-Class C 300 4MATIC Sport,2013,98000,248.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,White,At least 1 accident or damage reported,Yes,15500
Volkswagen,Arteon SEL R-Line,2022,18655,2.0 Liter TSI,Gasoline,Automatic,Titan Black,Oryx White Prl,None reported,,38698
Chevrolet,Suburban 2500 LS,2006,60000,325.0HP 8.1L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Brown,Brown,At least 1 accident or damage reported,Yes,24950
Chevrolet,Suburban 1500 LT,2014,169500,320.0HP 5.3L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,Brown,Purple,None reported,Yes,15000
Mitsubishi,Eclipse GS,2008,189500,162.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,5-Speed M/T,Black,Red,None reported,Yes,6000
Toyota,Land Cruiser Base,2016,91000,381.0HP 5.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Brown,Black,None reported,Yes,68500
Genesis,G80 2.5T,2022,7396,2.5L I4 16V PDI DOHC Turbo,Gasoline,8-Speed Automatic,Black,Black Forest Green,None reported,,41299
Toyota,Tundra SR5 Access Cab,2004,229450,240.0HP 4.7L 8 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Gray,None reported,Yes,8250
Maserati,Quattroporte Modena Q4,2023,8603,3.0L V6 24V GDI DOHC Twin Turbo,Gasoline,8-Speed Automatic,Tan,Blu,None reported,,125900
Audi,RS 5 4.2,2014,49098,450.0HP 4.2L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,White,At least 1 accident or damage reported,Yes,44900
Nissan,Rogue S,2022,21212,1.5L I3 12V GDI DOHC Turbo,Gasoline,Automatic CVT,Charcoal,Gun Metallic,None reported,,28906
Porsche,Panamera 4S,2010,62743,400.0HP 4.8L 8 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Gray,Silver,None reported,Yes,28600
BMW,M440 i xDrive,2021,24300,382.0HP 3.0L Straight 6 Cylinder Engine Gasoline/Mild Electric Hybrid,Hybrid,8-Speed A/T,Beige,Gray,None reported,Yes,49999
Cadillac,Escalade Premium,2010,104000,403.0HP 6.2L 8 Cylinder Engine Flex Fuel Capability,E85 Flex Fuel,A/T,–,Gray,None reported,Yes,19500
Volvo,S60 T6 Momentum,2020,46250,2.0L I4 16V GDI DOHC,Gasoline,8-Speed Automatic,Charcoal,White,At least 1 accident or damage reported,Yes,27800
Mazda,CX-9 Touring Plus,2023,1930,2.5L I4 16V GDI DOHC Turbo,Gasoline,6-Speed Automatic,Black,Jet Black Mica,At least 1 accident or damage reported,Yes,40655
Chrysler,Pacifica Hybrid Touring L,2022,61494,3.6L V6 24V MPFI DOHC Hybrid,Hybrid,Automatic CVT,Black,Bright White Clearcoat,None reported,,35850
Jeep,Wrangler Unlimited Sport,2020,24040,2.0L I4 16V GDI DOHC Turbo,Gasoline,8-Speed Automatic,Black,Black Clearcoat,None reported,Yes,35273
Toyota,Highlander Base,2001,231581,220.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Beige,Beige,None reported,Yes,4300
Ford,F-150 Lariat,2019,81000,375.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,10-Speed A/T,Black,Gray,None reported,Yes,38500
Ford,Bronco,1974,6217,–,–,–,–,Dark Gray Metallic,None reported,Yes,115000
Land,Rover Discovery Sport S R-Dynamic,2022,23568,2.0 Liter,Gasoline,Automatic,Ebony,Firenze Red,None reported,,44998
Mazda,Mazda6 Touring,2020,78700,187.0HP 2.5L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,White,None reported,Yes,18000
Kia,Optima EX,2015,109580,192.0HP 2.4L 4 Cylinder Engine Gasoline Fuel,Gasoline,6-Speed A/T,Black,Red,At least 1 accident or damage reported,Yes,11900
Lexus,RX 350 Base,2009,178000,270.0HP 3.5L V6 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Gray,At least 1 accident or damage reported,Yes,4500
Mitsubishi,Outlander Sport 2.4 SE,2016,131193,2.4L I4 16V MPFI DOHC,Gasoline,Automatic CVT,Black,Black,None reported,Yes,11970
Mercedes-Benz,GLS 450 Base 4MATIC,2017,106000,362.0HP 3.0L V6 Cylinder Engine Gasoline Fuel,Gasoline,9-Speed A/T,Black,White,None reported,Yes,25900
Audi,A3 2.0T Premium,2019,28211,184.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,Transmission w/Dual Shift Mode,Black,Gray,At least 1 accident or damage reported,Yes,27500
Audi,A4 2.0T Premium,2015,91403,2.0L I4 16V GDI DOHC Turbo Flexible Fuel,E85 Flex Fuel,8-Speed Automatic,Gray,Silver,None reported,,14998
Mercedes-Benz,CLA-Class CLA 250,2016,88600,208.0HP 2.0L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Black,Black,At least 1 accident or damage reported,Yes,16800
INFINITI,FX50 Base,2011,84900,390.0HP 5.0L 8 Cylinder Engine Gasoline Fuel,Gasoline,7-Speed A/T,Black,Silver,,,22450
Kia,K5 EX,2021,11154,1.6L I4 16V GDI DOHC Turbo,Gasoline,8-Speed Automatic,Black,Glacial White Pearl,None reported,,28998
BMW,X5 eDrive xDrive40e,2018,45090,313.0HP 2.0L 4 Cylinder Engine Plug-In Electric/Gas,Plug-In Hybrid,8-Speed A/T,Black,Gray,At least 1 accident or damage reported,Yes,30750
Mercedes-Benz,SLK-Class SLK230 Kompressor,2003,33272,192.0HP 2.3L 4 Cylinder Engine Gasoline Fuel,Gasoline,A/T,Gray,Red,At least 1 accident or damage reported,Yes,11900
